 Metabolite_name	RefMet_name	AF_1-1	AF_1-2	AF_1-3	AF_2-1	AF_2-2	AF_2-3	AF_3-1	AF_3-2	AF_3-3	AF_4-1	AF_4-2	AF_4-3	AF_5-1	AF_5-2	AF_5-3	AF_6-1	AF_6-2	AF_6-3	AF_7-1	AF_7-2	AF_7-3	AF_8-1	AF_8-2	AF_8-3	NoAF_1-1	NoAF_1-2	NoAF_1-3	NoAF_2-1	NoAF_2-2	NoAF_2-3	NoAF_3-1	NoAF_3-2	NoAF_3-3	NoAF_4-1	NoAF_4-2	NoAF_4-3	NoAF_5-1	NoAF_5-2	NoAF_5-3	NoAF_6-1	NoAF_6-2	NoAF_6-3	NoAF_7-1	NoAF_7-2	NoAF_7-3	NoAF_8-1	NoAF_8-2	NoAF_8-3
Factors	-	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media	Sample source:LECs | Treatment:No AF_EAT media
1_5-Anhydro-glucitol-4TMS	1,5-Anhydrosorbitol																																																
1_6-Anhydroglucose-3TMS	Glucosan	73582	77721	95222	75139	93173	94801	104428	115686	114111	119758	137861	107834	98956	123994	114573	113485	113740	108041	91311	502291	133072	124466	110174	113271	128965	112323	123420	134476	104786	116816	125523	122651	138126	143321	134379	144295	118125	119902	106515	125482	118925	126758	107284	99524	108131	101496	141840	105834
1-Hexadecanol-TMS	Cetyl alcohol	36926	34094	66974	43537	42100	45656	40005	48029	54597	36837	48347	30979	31824	51856	45475	50445	37252	47315	37312	49459	41738	51503	43679	50884	39825	46155	33340	53422	32923	51682	48798	44257	40149	46001	44231	50383	54646	35565	36275	53900	42383	46226	37898	38796	41814	36410	47664	43632
1-Methylhistamine dihydrochloride	1-Methylhistamine	3385095	3576225	4806944	4125343	4023	5358	2312206	3099	3412520	3873796	4358	3728	3329453	4410226	4514213	5526	4506098	3917	3442815	3514100	5037	4748149	7885	4207	4166879	3943705	7170	6078996	6402	5993	4169	5149303	4469877	4236028	6078736	5820034	3925	5071262	4448431	4669917	5342797	5161	4518623	3965180	4967256	4837723	5595740	39364
2_3-Bisphosphoglyceric acid-5TMS		30744		41880	40181	45714		31769	40960	38406	44888					32278	2088	48668	38780	37232	106620			44768	44925		57463		57827	49729		40302		48337				55313		44769			58060		44769			57527	44233
2-Aminoadipic acid-3TMS	alpha-Aminoadipic acid				26267			20786						22015		28362	24656	25222	24616			31652		25563	25142	24365			30263	21545	25824			24924			29843					28082	31628				28636	30849	
2-Aminobutyric acid-2TMS	2-Aminobutyric acid																																																
2-Aminoethanol-2TMS	Ethanolamine			1352		3764	4012	3690	3126	2442	2334	1859	1237	1024			2379		1121			3093		3261		1710	5487	2127	3831	3053			3599	2636	2944	6109			1004		2114	3488		2041		2855		2242	2253
2-Aminoethanol-3TMS	Ethanolamine	794410	732061	942804	825235	973457	1019752	942865	892873	975069	943805	939037	827021	800270	880521	861455	919440	970827	936854	912783	1081382	889230	973018	774653	939682	829240	801378	852112	894866	809832	898626	909978	983148	878767	841235	957807	1011876	926247	909637	837684	894433	888837	968405	944451	911977	962508	957012	1115663	813397
